id,birth.place.cityNow.sameas.wikidata,birth.place.cityNow.sameas.wikipedia,birth.place.countryNow.sameas.wikidata,death.place.cityNow.sameas.wikidata,death.place.cityNow.sameas.wikipedia,death.place.countryNow.sameas.wikidata,founded.place.cityNow.sameas.wikidata,founded.place.cityNow.sameas.wikipedia,founded.place.countryNow.sameas.wikidata
745,https://www.wikidata.org/wiki/Q678437,"https://www.wikipedia.org/wiki/Montclair,_New_Jersey",https://www.wikidata.org/wiki/Q30,NA,NA,NA,NA,NA,NA
102,https://www.wikidata.org/wiki/Q1748,https://www.wikipedia.org/wiki/Copenhagen,https://www.wikidata.org/wiki/Q35,https://www.wikidata.org/wiki/Q1748,https://www.wikipedia.org/wiki/Copenhagen,https://www.wikidata.org/wiki/Q35,NA,NA,NA
779,https://www.wikidata.org/wiki/Q41621,https://www.wikipedia.org/wiki/Haifa,https://www.wikidata.org/wiki/Q801,NA,NA,NA,NA,NA,NA
259,https://www.wikidata.org/wiki/Q691679,https://www.wikipedia.org/wiki/%C5%BDelva,https://www.wikidata.org/wiki/Q37,NA,NA,NA,NA,NA,NA
114,https://www.wikidata.org/wiki/Q1026616,https://www.wikipedia.org/wiki/Jhang,https://www.wikidata.org/wiki/Q843,https://www.wikidata.org/wiki/Q34217,https://www.wikipedia.org/wiki/Oxford,https://www.wikidata.org/wiki/Q145,NA,NA,NA
982,https://www.wikidata.org/wiki/Q1156,https://www.wikipedia.org/wiki/Mumbai,https://www.wikidata.org/wiki/Q668,NA,NA,NA,NA,NA,NA
981,https://www.wikidata.org/wiki/Q2899862,https://www.wikipedia.org/wiki/Beshasha,https://www.wikidata.org/wiki/Q115,NA,NA,NA,NA,NA,NA
843,https://www.wikidata.org/wiki/Q1218,https://www.wikipedia.org/wiki/Jerusalem,https://www.wikidata.org/wiki/Q801,NA,NA,NA,NA,NA,NA
866,https://www.wikidata.org/wiki/Q61,"https://www.wikipedia.org/wiki/Washington,_D.C.",https://www.wikidata.org/wiki/Q30,NA,NA,NA,NA,NA,NA
199,https://www.wikidata.org/wiki/Q2706,https://www.wikipedia.org/wiki/Bremerhaven,https://www.wikidata.org/wiki/Q183,https://www.wikidata.org/wiki/Q1726,https://www.wikipedia.org/wiki/Munich,https://www.wikidata.org/wiki/Q183,NA,NA,NA
164,https://www.wikidata.org/wiki/Q64,https://www.wikipedia.org/wiki/Berlin,https://www.wikidata.org/wiki/Q183,https://www.wikidata.org/wiki/Q61936,https://www.wikipedia.org/wiki/Starnberg,https://www.wikidata.org/wiki/Q183,NA,NA,NA
185,https://www.wikidata.org/wiki/Q64,https://www.wikipedia.org/wiki/Berlin,https://www.wikidata.org/wiki/Q183,https://www.wikidata.org/wiki/Q3033,https://www.wikipedia.org/wiki/G%C3%B6ttingen,https://www.wikidata.org/wiki/Q183,NA,NA,NA
541,https://www.wikidata.org/wiki/Q1486,https://www.wikipedia.org/wiki/Buenos_Aires,https://www.wikidata.org/wiki/Q414,NA,NA,NA,NA,NA,NA
292,https://www.wikidata.org/wiki/Q328153,https://www.wikipedia.org/wiki/Damanhur,https://www.wikidata.org/wiki/Q79,https://www.wikidata.org/wiki/Q485176,"https://www.wikipedia.org/wiki/Pasadena,_California",https://www.wikidata.org/wiki/Q30,NA,NA,NA
853,https://www.wikidata.org/wiki/Q1187152,"https://www.wikipedia.org/wiki/Mukawa,_Hokkaido",https://www.wikidata.org/wiki/Q17,NA,NA,NA,NA,NA,NA
978,https://www.wikidata.org/wiki/Q653510,https://www.wikipedia.org/wiki/Suita,https://www.wikidata.org/wiki/Q17,NA,NA,NA,NA,NA,NA
819,https://www.wikidata.org/wiki/Q61,"https://www.wikipedia.org/wiki/Washington,_D.C.",https://www.wikidata.org/wiki/Q30,NA,NA,NA,NA,NA,NA
729,https://www.wikidata.org/wiki/Q489255,"https://www.wikipedia.org/wiki/Sioux_City,_Iowa",https://www.wikidata.org/wiki/Q30,NA,NA,NA,NA,NA,NA
376,https://www.wikidata.org/wiki/Q806160,https://www.wikipedia.org/wiki/Banbury,https://www.wikidata.org/wiki/Q145,https://www.wikidata.org/wiki/Q350,https://www.wikipedia.org/wiki/Cambridge,https://www.wikidata.org/wiki/Q145,NA,NA,NA
730,https://www.wikidata.org/wiki/Q1223916,https://www.wikipedia.org/wiki/Masterton,https://www.wikidata.org/wiki/Q664,https://www.wikidata.org/wiki/Q1132763,"https://www.wikipedia.org/wiki/Drexel_Hill,_Pennsylvania",https://www.wikidata.org/wiki/Q30,NA,NA,NA
11,https://www.wikidata.org/wiki/Q1005414,https://www.wikipedia.org/wiki/Strzelno,https://www.wikidata.org/wiki/Q36,https://www.wikidata.org/wiki/Q485176,"https://www.wikipedia.org/wiki/Pasadena,_California",https://www.wikidata.org/wiki/Q30,NA,NA,NA
628,https://www.wikidata.org/wiki/Q1924629,https://www.wikipedia.org/wiki/Dr%C3%A9an,https://www.wikidata.org/wiki/Q262,https://www.wikidata.org/wiki/Q212420,https://www.wikipedia.org/wiki/Sens,https://www.wikidata.org/wiki/Q142,NA,NA,NA
26,https://www.wikidata.org/wiki/Q3012,https://www.wikipedia.org/wiki/Ulm,https://www.wikidata.org/wiki/Q183,https://www.wikidata.org/wiki/Q138518,"https://www.wikipedia.org/wiki/Princeton,_New_Jersey",https://www.wikidata.org/wiki/Q30,NA,NA,NA
814,https://www.wikidata.org/wiki/Q6582,https://www.wikipedia.org/wiki/Carcassonne,https://www.wikidata.org/wiki/Q142,NA,NA,NA,NA,NA,NA
465,https://www.wikidata.org/wiki/Q66384,https://www.wikipedia.org/wiki/Tramelan,https://www.wikidata.org/wiki/Q39,https://www.wikidata.org/wiki/Q70,https://www.wikipedia.org/wiki/Bern,https://www.wikidata.org/wiki/Q39,NA,NA,NA
519,https://www.wikidata.org/wiki/Q193250,https://www.wikipedia.org/wiki/Bulawayo,https://www.wikidata.org/wiki/Q954,https://www.wikidata.org/wiki/Q10676708,https://www.wikipedia.org/wiki/KwaDukuza,https://www.wikidata.org/wiki/Q258,NA,NA,NA
513,https://www.wikidata.org/wiki/Q83485,https://www.wikipedia.org/wiki/Kaysersberg,https://www.wikidata.org/wiki/Q142,https://www.wikidata.org/wiki/Q874197,https://www.wikipedia.org/wiki/Lambar%C3%A9n%C3%A9,https://www.wikidata.org/wiki/Q1000,NA,NA,NA
332,https://www.wikidata.org/wiki/Q1781,https://www.wikipedia.org/wiki/Budapest,https://www.wikidata.org/wiki/Q28,https://www.wikidata.org/wiki/Q747172,"https://www.wikipedia.org/wiki/Woods_Hole,_Massachusetts",https://www.wikidata.org/wiki/Q30,NA,NA,NA
304,https://www.wikidata.org/wiki/Q2861,https://www.wikipedia.org/wiki/Rostock,https://www.wikidata.org/wiki/Q183,https://www.wikidata.org/wiki/Q2966,https://www.wikipedia.org/wiki/Heidelberg,https://www.wikidata.org/wiki/Q183,NA,NA,NA
83,https://www.wikidata.org/wiki/Q755507,"https://www.wikipedia.org/wiki/Atherton,_Queensland",https://www.wikidata.org/wiki/Q408,https://www.wikidata.org/wiki/Q649,https://www.wikipedia.org/wiki/Moscow,https://www.wikidata.org/wiki/Q159,NA,NA,NA
644,https://www.wikidata.org/wiki/Q153676,https://www.wikipedia.org/wiki/Kislovodsk,https://www.wikidata.org/wiki/Q159,NA,NA,https://www.wikidata.org/wiki/Q159,NA,NA,NA
766,https://www.wikidata.org/wiki/Q649,https://www.wikipedia.org/wiki/Moscow,https://www.wikidata.org/wiki/Q159,NA,NA,NA,NA,NA,NA
306,https://www.wikidata.org/wiki/Q387460,https://www.wikipedia.org/wiki/Sainte-Foy-l%C3%A8s-Lyon,https://www.wikidata.org/wiki/Q142,https://www.wikidata.org/wiki/Q90,https://www.wikipedia.org/wiki/Paris,https://www.wikidata.org/wiki/Q142,NA,NA,NA
544,https://www.wikidata.org/wiki/Q145865,"https://www.wikipedia.org/wiki/Zamora,_Michoacán",https://www.wikidata.org/wiki/Q96,https://www.wikidata.org/wiki/Q1489,https://www.wikipedia.org/wiki/Mexico_City,https://www.wikidata.org/wiki/Q96,NA,NA,NA
